m/z	retention_time	p-value	t-score	custom_id
894.47905	17.452	0	1.4302668601666666	N534
494.32474	11.634	1	0.16166077156666658	N535
467.2994	13.107	1	-0.1320430609833333	N536
327.17958	9.787	1	0.4560469783833334	N537
608.31973	11.742	1	-0.11990685000000001	N538
762.5299	18.034	1	-0.20485746883333333	N539
692.41231	12.314	1	-0.47460318188333334	N541
760.43929	12.4	1	-0.83850088235	N542
935.54875	13.219	1	-1.0139444594166667	N545
828.47865	16.449	1	0.6411988036999999	N546
628.36108	12.23	1	-0.3908981127	N547
574.31358	11.993	1	-0.55644892165	N548
696.37192	11.224	1	-0.5843379711333333	N549
602.48117	15.618	1	0.1239242614333333	N550
680.31704	10.167	1	0.3157518135666667	N551
582.23547	10.282	1	-0.015026547366666643	N552
812.57966	19.471	1	1.14250209775	N553
522.2836	10.382	1	-0.16656663666666666	N555
695.33966	10.676	1	-0.3370476610999999	N556
667.30667	10.813	1	0.7959964759833335	N558
786.52777	17.931	1	-0.2866502711833333	N561
594.28084	10.255	1	0.10451360830000002	N562
327.23232	9.895	1	0.2644439256833333	N564
457.19024	11.676	1	0.38651826896666663	N565
526.35077	11.207	1	-0.33846409600000005	N567
596.29627	10.768	1	0.1451892185333334	N568
868.46372	17.238	0	1.3914756602333336	N569
686.47553	16.126	1	0.27954737308333333	N570
823.5479	17.395	1	0.37415266036666667	N571
441.25241	9.498	1	-0.44886689481666664	N572
961.62525	11.503	1	0.4740861134833334	N573
706.39228	11.633	1	-0.7163844178166666	N576
763.55965	16.167	1	-0.7674038389333333	N577
568.32588	11.087	1	0.2476051212499999	N580
804.50217	14.071	1	-0.3790279341	N581
762.41851	11.915	1	-0.7431409923833332	N582
878.57297	13.612	1	-0.37973419045000006	N584
530.32446	10.643	1	0.9914245641333332	N586
694.63455	20.691	1	0.27858900568333334	N587
333.1354	8.03	1	-0.48289102455000005	N588
784.51001	18.084	1	0.4726588026833333	N589
654.23538	9.899	1	0.23489997585000005	N590
814.55903	18.358	0	1.3908287108	N591
738.41884	11.807	1	-1.2192222505166666	N592
568.49399	16.596	1	-0.19058323794999998	N593
769.37575	11.262	1	-0.5056674128	N594
782.53122	17.091	1	-0.14120599511666662	N595
536.50415	17.098	1	0.2073555741666666	N600
892.52944	17.909	1	0.46132462718333334	N601
395.21983	11.674	1	0.4030286742833333	N602
660.35073	11.397	1	-0.8326223023000001	N603
590.30919	11.133	1	-0.3206637268666666	N605
632.31712	10.069	1	0.9191212998	N606
816.53735	14.657	1	-0.13750757259999996	N607
730.46534	14.746	1	-0.5935341307166666	N609
900.57288	18.016	0	1.41678572585	N610
818.54458	19.23	0	1.3795147446666665	N613
560.43426	14.34	1	-0.41230297944999994	N614
