fid	Experimental mass	rt	Platform	Mode	_quant_LD2169	_quant_LD2170	_quant_LD2171	_quant_LD2243	_quant_LD2244	_quant_LD2245	_quant_LD2162	_quant_LD2163	_quant_LD2164	_quant_LD2213	_quant_LD2214	_quant_LD2215	_quant_LD2166	_quant_LD2157	_quant_LD2158	_quant_LD2223	_quant_LD2224	_quant_LD2225
N606	632.31712	10.069	C18	NEG	-0.1898514165	0.7994541899000001	-1.1847022381	1.4294047647	0.1867217052	1.5869331156	-1.6701003842	1.0292244312	-0.2171637058	-0.0742894028	-2.0112122213	0.0567736049	0.2917810461	0.2756159098	0.1557861531	1.1893430213	-1.2786204425	-0.3750981306
N607	816.53735	14.657	C18	NEG	-0.8208091594	-0.0692627064	0.8745383632	0.3672080605	0.7181875244	-1.3827801218	0.7286624599	-2.5194884697	0.807783942	0.3964110756	0.7182034917	0.3805548966	-1.7603171387	0.3391141311	-0.4776348606	0.0820848576	0.8094832594	0.7387976881
N609	730.46534	14.746	C18	NEG	-0.4989906138	-0.4974032741	0.7118142353	-1.6349993449	0.7743363945	-1.1996594626	-1.6545700057	-1.4686473745	1.3424489854	1.3630415471	0.4937769824	1.140252584	-0.0869421034	-0.265506372	0.2365275407	-0.2959607791	0.4752107495	0.2719062581
N610	900.57288	18.016	C18	NEG	0.5136397512	1.185811544	-0.2419603057	1.5446115774	0.0990582879	1.1139528095	-1.3658422534	-0.1418071756	-0.893683062	-0.30061716	-0.5819618547000001	-1.0016891851	-0.2607213193	-1.4004472223	-0.9443884327	1.7258002554	0.126321585	-0.7110679102
N613	818.54458	19.23	C18	NEG	1.3460118307	0.6435072262	-0.5312798022	0.9902332667	1.1430885881	1.0884652311	-1.4723295526	0.5210663286	-0.9528154937	-0.1622057715	-1.1773831701	-0.3533944681	-0.5516738572000001	-0.9418327162	-0.4321013992	2.0448979256	0.0519240207	-1.254178187
N614	560.43426	14.34	C18	NEG	-1.0786457655	0.3692900821	-1.1913316213	0.8378527806	-0.1435449882	0.4567412398	1.0629995121	1.6031019561000002	0.4362701115	-1.1049187491	-0.6217941960000001	0.3485209696	1.4903209311	0.3222019504	0.3504623144	0.3681015267	-1.7169033352	-1.7887247190000002
N616	566.24931	9.516	C18	NEG	0.0410888788	1.2043437019	-1.0460544926	0.9413467143	-0.6618787233	1.2612478174	-1.1879875098	1.1205269803	-0.0170997267	0.8263676779	-2.3667815925	-0.1571961334	0.444041658	0.1145694351	-0.3830935514	1.1685724067	-1.355278446	0.0532649051
N618	670.28794	10.679	C18	NEG	0.3481595296	0.4661863192	-2.0231804169	1.0556338049	-1.4178530909	1.0619183178	-0.3333032202	1.2425384747	-0.3912589369	-0.2084989146	-1.2430859619	-0.9163782102	1.5491454488	0.5200908172	0.5998993016	1.0562696614	-0.6827665389	-0.6835163846
N619	716.41323	12.757	C18	NEG	-0.6612479345000001	-1.0886768662	0.5810778742	-1.5587630154	0.7623119255	-1.8438304512	0.9906056844	-0.8808865282	0.1365628679	-0.9353920012	1.1104354174	-0.1659223287	-0.6620324919	0.9457547534	0.457068612	-1.3187533699	1.2555195787	0.9066048792
N620	678.39776	12.942	C18	NEG	0.4173703631	-0.0653850826	1.0392719211	-0.8490897851	-0.1339831559	-1.3097891559	0.4057407743	0.1698471251	1.9627236932	-0.1433931621	0.7493046049000001	1.2615824016	-0.5603636471	-0.2165417315	-1.1098291	-1.9560490487	-0.3187799733	0.7618250013000001
N622	1551.21505	19.103	C18	NEG	-0.0583938017	0.2281505555	-1.8842415684	-0.0659201289	0.5222355320000001	0.2051573035	-0.7559581288	0.0814810608	0.6811749267	2.2974199929	1.0122781837	-0.384562751	-0.3248424279	-1.3460738214	-0.2692591065	-0.3022626958	1.6708940162	-1.3072771409
N623	1561.12783	18.794	C18	NEG	1.8289404177	-1.1416191787	0.7562295370000001	-0.2651310597	0.5657006995	-0.8055509291	-1.2152427942	1.1911452789	-0.9009340375	0.0020932425	0.5832675345	1.1735676893	-1.7677648256	-0.8691164631	1.1628385778	-0.868768414	0.573122072	-0.0027773473
N624	383.17471	11.19	C18	NEG	0.2243144886	1.137020661	-1.3868716997	1.3213255802	0.3207823776	1.0562247352	-1.26453168	0.8318349141	-0.3896253127	0.3831351112	-2.1844838668	-0.9410475451	-0.1249670193	-0.1528465337	0.7734455921000001	1.3180798593	0.1401587251	-1.0619483871
N627	1167.69896	14.724	C18	NEG	-0.3098320006	1.4479062781	-1.2501894365	1.266687644	-1.8714581533	0.1230682686	0.9098793803	0.062282896	-0.7482227199	-0.0368234137	1.1513021594	-1.5288470331	-0.2081268489	1.0037095486	-1.0035117377	-0.1213868725	1.3857097612	-0.2721477202
N628	813.48866	16.522	C18	NEG	-0.3320058023	1.0448149831	0.2930119069	1.2441526018	-1.6787129093000002	0.7886669161000001	0.8756116587	0.6630955596	-0.2283562805	0.0634211036	0.2524235662	-2.375013355	-0.3977407429	-0.0389203702	-1.872528188	0.5948257111	0.297809036	0.8054446053000001
N629	507.27215	9.726	C18	NEG	-0.6521642127	1.728724041	-1.2681018777	0.2721495752	-1.2803709646	1.09902808	0.1894875669	1.2713306233	0.6915009961	0.4674561421	-0.7403652947	-1.4505101961	0.1851905897	0.2157100048	-0.8886677479	1.0383636256	-1.9208468034	-0.2382851121
N630	816.53711	14.056	C18	NEG	-1.2691904341	-0.6732336281	0.9213812167	-0.2017028413	0.6856600267	-2.4023679284	0.6362453126000001	-0.6147699394	0.5843698855	-0.0263117754	0.7296008582	0.5512082768000001	-1.9013331677	0.7453026267	-0.342392092	-0.3113529823	0.7342587555000001	0.8666242625
N631	838.55881	18.08	C18	NEG	0.0978541373	0.2547975363	-2.3301516376	0.9306937627	0.5250561329	0.6414271568000001	-0.6616889601	1.0222878308	-0.2367558355	1.1271837169	-1.4046846529	0.2931479856	0.4551764015	-0.16816181	0.5597249974	0.9681169232	0.0668955635	-2.1409192489
